"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","A","2000",3.376857,
"USA","CPI","TOT","AGRWTH","A","2001",2.826171,
"USA","CPI","TOT","AGRWTH","A","2002",1.586032,
"USA","CPI","TOT","AGRWTH","A","2003",2.270095,
"USA","CPI","TOT","AGRWTH","A","2004",2.677237,
"USA","CPI","TOT","AGRWTH","A","2005",3.392747,
"USA","CPI","TOT","AGRWTH","A","2006",3.225944,
"USA","CPI","TOT","AGRWTH","A","2007",2.852673,
"USA","CPI","TOT","AGRWTH","A","2008",3.8391,
"USA","CPI","TOT","AGRWTH","A","2009",-0.3555463,
"USA","CPI","TOT","AGRWTH","A","2010",1.640043,
"USA","CPI","TOT","AGRWTH","A","2011",3.156842,
"USA","CPI","TOT","AGRWTH","A","2012",2.069337,
"USA","CPI","TOT","AGRWTH","A","2013",1.464833,
"USA","CPI","TOT","AGRWTH","A","2014",1.622223,
"USA","CPI","TOT","AGRWTH","A","2015",0.1186271,
"USA","CPI","TOT","AGRWTH","A","2016",1.261583,
"USA","CPI","TOT","AGRWTH","A","2017",2.13011,
"USA","CPI","TOT","AGRWTH","A","2018",2.442583,
"USA","CPI","TOT","AGRWTH","A","2019",1.81221,
"USA","CPI","TOT","AGRWTH","A","2020",1.233584,
"OECD","CPI","TOT","AGRWTH","A","2000",4.051818,
"OECD","CPI","TOT","AGRWTH","A","2001",3.659111,
"OECD","CPI","TOT","AGRWTH","A","2002",2.772481,
"OECD","CPI","TOT","AGRWTH","A","2003",2.473715,
"OECD","CPI","TOT","AGRWTH","A","2004",2.398978,
"OECD","CPI","TOT","AGRWTH","A","2005",2.62988,
"OECD","CPI","TOT","AGRWTH","A","2006",2.65985,
"OECD","CPI","TOT","AGRWTH","A","2007",2.541097,
"OECD","CPI","TOT","AGRWTH","A","2008",3.724277,
"OECD","CPI","TOT","AGRWTH","A","2009",0.5430971,
"OECD","CPI","TOT","AGRWTH","A","2010",1.798959,
"OECD","CPI","TOT","AGRWTH","A","2011",2.844188,
"OECD","CPI","TOT","AGRWTH","A","2012",2.238811,
"OECD","CPI","TOT","AGRWTH","A","2013",1.599462,
"OECD","CPI","TOT","AGRWTH","A","2014",1.737656,
"OECD","CPI","TOT","AGRWTH","A","2015",0.6852986,
"OECD","CPI","TOT","AGRWTH","A","2016",1.201091,
"OECD","CPI","TOT","AGRWTH","A","2017",2.279768,
"OECD","CPI","TOT","AGRWTH","A","2018",2.606723,
"OECD","CPI","TOT","AGRWTH","A","2019",2.06814,
"OECD","CPI","TOT","AGRWTH","A","2020",1.368725,
